date,band,venue,public_url,setlist,note
2018-05-19,Hop Along,Union Transfer,,https://www.setlist.fm/setlist/hop-along/2018/union-transfer-philadelphia-pa-13edc1e5.html,
2018-05-19,Eight,Union Transfer,,,
2018-05-19,Nervous Dater,Union Transfer,,,
2018-03-16,Moose Blood,Theatre of Living Arts,,https://www.setlist.fm/setlist/moose-blood/2018/the-theatre-of-living-arts-philadelphia-pa-1bef3534.html,
2018-03-16,Lydia,Theatre of Living Arts,,https://www.setlist.fm/setlist/lydia/2018/the-theatre-of-living-arts-philadelphia-pa-13ef3529.html,
2018-03-16,McCafferty,Theatre of Living Arts,,,
2017-12-10,McCafferty,Everybody Hits,,https://www.setlist.fm/setlist/mccafferty/2017/everybody-hits-philadelphia-pa-7be1ba84.html,
2017-12-10,Heart Attack Man,Everybody Hits,,,
2017-12-10,Caracara,Everybody Hits,,,
2017-11-22,The Front Bottoms,The Fillmore,,https://www.setlist.fm/setlist/the-front-bottoms/2017/the-fillmore-philadelphia-philadelphia-pa-1be0d128.html,
2017-10-14,Modern Baseball,Union Transfer,,https://www.setlist.fm/setlist/modern-baseball/2017/union-transfer-philadelphia-pa-1be3ddd8.html,
2017-09-05,McCafferty,PhilaMOCA,,https://www.setlist.fm/setlist/mccafferty/2017/philamoca-philadelphia-pa-6be2daae.html,
2017-09-05,Remo Drive,PhilaMOCA,,https://www.setlist.fm/setlist/remo-drive/2017/philamoca-philadelphia-pa-7be2dab8.html,
2017-03-20,Alcoa,The Boot & Saddle,,,
2017-02-19,Josh Garrels,Union Transfer,,,
2017-02-19,John Mark McMillian,Union Transfer,,,
2016-12-29,mewithoutYou,The Boot & Saddle,,https://www.setlist.fm/setlist/mewithoutyou/2016/boot-and-saddle-philadelphia-pa-3fb6d33.html,
2016-04-16,Underoath,Franklin Music Hall (Electric Factory),,https://www.setlist.fm/setlist/underoath/2016/electric-factory-philadelphia-pa-1bf1fd54.html,
2016-04-03,Norma Jean,Voltage Lounge,,,
2016-04-03,He is Legend,Voltage Lounge,,https://www.setlist.fm/setlist/he-is-legend/2016/voltage-lounge-philadelphia-pa-73f1b669.html,
2016-04-03,Forevermore,Voltage Lounge,,,
2015-10-24,The Menzingers,Union Transfer,,https://www.setlist.fm/setlist/the-menzingers/2015/union-transfer-philadelphia-pa-3bf58050.html,
2015-10-24,mewithoutYou,Union Transfer,,https://www.setlist.fm/setlist/mewithoutyou/2015/union-transfer-philadelphia-pa-13f589d1.html,
2015-10-24,Pianos Become the Teeth,Union Transfer,,https://www.setlist.fm/setlist/pianos-become-the-teeth/2015/union-transfer-philadelphia-pa-bf589de.html,
2015-10-24,Restorations,Union Transfer,,https://www.setlist.fm/setlist/restorations/2015/union-transfer-philadelphia-pa-13f589d5.html,
2013-10-22,Being As An Ocean,The Note,,https://www.setlist.fm/setlist/being-as-an-ocean/2013/the-note-west-chester-pa-5bc01780.html,
2012-04-20,The Wonder Years,Theatre of Living Arts,,https://www.setlist.fm/setlist/the-wonder-years/2012/the-theatre-of-living-arts-philadelphia-pa-23de6413.html,
2012-04-20,Polar Bear Club,Theatre of Living Arts,,,
2012-04-20,Transit,Theatre of Living Arts,,,
2012-04-20,Into It. Over It.,Theatre of Living Arts,,,
2012-04-20,The Story So Far,Theatre of Living Arts,,https://www.setlist.fm/setlist/the-story-so-far/2012/the-theatre-of-living-arts-philadelphia-pa-53c23be9.html,
